y,x
465.19,333.936
471.595,402.2
463.482,400.912
463.482,663.02
465.617,532.288
421.636,447.28
442.132,471.108
457.931,448.568
465.617,626.956
460.066,283.704
467.325,463.38
460.066,469.82
454.088,572.86
463.482,497.512
478,606.348
471.168,525.204
388.757,266.316
463.482,443.416
465.617,610.212
439.997,550.964
454.942,566.42
380.217,657.224
399.432,525.204
454.088,523.916
468.606,535.508
464.763,429.248
443.84,492.36
436.154,239.268
463.482,469.82
379.363,508.46
458.785,294.008
460.066,412.504
467.752,497.512
467.325,603.128
439.143,529.712
478,368.068
474.157,687.492
478,657.868
443.413,682.984
451.099,540.66
469.887,506.528
478,320.412
373.385,561.912
478,655.292
478,388.032
443.413,384.168
439.997,476.26
319.156,478.836
317.875,248.284
478,604.416
436.581,642.412
407.545,632.108
450.672,558.692
459.212,406.708
469.887,453.72
478,595.4
433.165,338.444
465.19,436.976
388.33,440.84
343.922,592.824
478,165.208
366.126,654.648
465.19,408.64
478,347.46
382.352,489.784
361.002,589.604
368.261,297.872
478,531
426.76,150.396
395.534,606.16
334.473,559.792
363.082,602.296
376.319,461.904
364.363,579.112
379.735,107.06
364.363,128.312
304.156,463.836
427.559,43.948
394.68,612.6
434.818,582.332
379.308,461.904
394.735,554.828
444.267,607.636
463.909,445.992
380.644,622.448
339.652,176.156
469.887,429.248
469.46,492.36
470.741,464.668
478,389.964
464.763,552.896
390.892,445.348
394.308,598.62
467.752,247.64
447.256,318.48
466.471,462.092
424.625,534.864
467.325,357.764
465.19,480.124
454.088,574.148
456.65,187.104
465.19,136.872
460.066,505.884
461.347,341.02
384.914,442.128
410.961,352.612
460.066,437.62
404.556,493.004
454.515,567.708
381.498,501.376
425.906,543.236
464.763,269.536
466.471,252.792
478,301.092
379.363,620.516
411.388,681.696
423.344,551.608
442.132,325.564
452.807,343.596
436.581,58.948
415.231,80.2
459.212,267.604
451.099,561.912
306.346,223.812
466.471,543.88
471.168,504.596
478,402.844
368.688,561.268
401.567,568.352
67.653,127.212
400.713,422.808
478,355.832
449.391,335.224
455.369,210.932
388.757,175.512
404.129,91.148
404.129,85.996
460.066,534.22
467.752,463.38
445.975,250.216
478,245.708
478,599.264
457.931,596.688
410.961,311.396
339.652,55.728
478,548.388
432.683,577.824
454.46,309.92
355.396,520.508
450.617,254.536
377.6,56.184
293.481,63.912
316.539,56.184
424.143,622.904
381.016,624.192
346.856,165.02
460.493,433.756
463.482,521.984
466.471,593.468
457.931,502.664
452.38,422.164
427.614,560.624
424.625,567.064
457.077,429.248
463.909,333.292
375.52,460.16
467.325,396.404
465.19,526.492
458.785,519.408
478,445.992
397.724,503.308
388.33,505.884
384.914,506.528
431.884,387.388
392.173,232.184
460.066,318.48
457.077,476.26
464.763,223.812
467.325,247.64
472.022,365.492
413.523,458.228
339.652,341.02
392.6,328.784
461.774,438.908
467.325,464.668
459.212,407.352
467.752,267.604
294.39,214.152
462.628,400.268
440.851,382.88
466.471,514.9
373.385,263.74
451.953,447.924
478,505.24
463.482,460.16
478,606.348
386.195,634.04
375.52,534.864
448.11,223.168
478,328.14
394.735,256.656
478,230.896
406.264,642.412
478,502.02
401.994,503.308
394.735,553.54
478,568.996
463.482,534.22
232.475,495.58
404.129,512.968
389.611,225.1
478,342.952
462.628,294.008
404.983,223.168
431.884,324.276
416.085,489.784
386.195,503.952
445.121,648.852
464.763,439.552
403.275,500.732
478,503.952
384.914,237.98
385.341,415.724
438.716,433.112
355.396,613.888
382.297,244.232
434.818,364.66
385.286,44.592
331.484,281.584
380.162,201.084
413.468,407.164
314.404,195.288
362.228,626.124
360.093,405.876
416.884,146.988
478,391.896
332.82,493.648
460.066,339.088
478,249.572
449.818,246.352
402.848,550.964
384.06,270.824
478,210.932
328.977,54.44
466.471,292.076
461.347,227.676
478,342.952
406.691,400.268
323.853,486.564
478,483.344
431.884,553.54
405.41,296.584
384.914,343.596
478,355.832
387.903,259.876
327.696,501.376
400.286,600.552
407.545,663.02
463.909,620.516
453.234,96.944
463.482,327.496
347.765,250.86
311.897,196.764
395.589,500.088
364.418,567.064
444.267,408.64
407.972,350.036
400.286,240.556
314.032,178.088
428.895,506.528
478,473.04
466.044,527.78
457.931,316.548
378.509,174.868
478,274.688
445.975,436.332
382.352,148.464
389.611,164.564
396.87,185.172
386.195,422.164
346.057,318.48
388.757,319.768
384.06,468.532
461.774,414.436
406.691,364.204
401.567,496.868
460.066,431.824
332.393,348.748
390.038,415.724
