y,x
80.463,257.944
62.102,219.948
51,284.992
72.35,314.616
72.777,269.536
51,338.444
77.901,450.5
51,228.32
83.025,259.232
84.306,485.276
51,257.944
62.102,332.648
72.35,422.164
121.028,605.704
239.734,243.132
51,288.856
201.304,327.496
152.199,75.692
51,465.312
51,388.676
194.899,288.856
128.714,155.548
62.956,451.788
89.857,532.932
51,536.796
51,249.572
144.086,232.828
51,286.924
51,419.588
130.422,242.488
79.609,247.64
65.518,460.16
186.786,657.224
85.16,465.956
69.788,515.544
84.306,322.344
120.601,405.42
114.196,88.572
58.259,136.872
69.788,384.168
100.959,136.228
156.896,525.204
103.948,327.496
51,324.92
83.025,312.684
184.651,232.184
118.466,230.252
91.138,385.456
65.89,273.856
54.361,517.288
44.113,523.084
104.32,173.392
56.069,280.296
76.992,175.968
180.753,135.396
170.505,159.224
115.422,94.18
241.814,56.184
77.419,352.424
59.912,255.824
194.844,306.056
162.819,166.952
74.857,153.428
121.882,279.196
51,174.224
65.518,233.472
145.367,529.712
152.199,652.072
147.075,161.344
65.518,139.448
63.383,180.664
71.496,418.3
51,668.816
51,219.304
71.069,474.972
66.372,599.264
225.643,118.84
94.554,317.836
202.585,479.48
89.857,276.62
51,403.488
51,367.424
160.312,567.708
147.075,454.364
51,446.636
79.609,440.84
96.689,455.652
73.576,72.928
79.981,119.296
335.327,62.624
120.546,451.6
223.88,108.992
158.549,100.62
194.844,110.924
78.273,250.672
243.949,78.08
237.544,107.704
145.312,110.924
199.541,50.388
65.036,304.768
94.072,254.536
240.106,112.856
165.808,132.176
128.232,452.888
152.144,48.456
137.681,176.156
74.912,429.248
51,108.536
51,295.94
59.54,351.968
94.127,474.972
68.08,379.016
51,308.82
60.394,321.056
129.141,379.66
144.086,219.948
51,194.188
86.441,60.88
81.317,426.028
51,332.004
82.598,465.956
87.295,471.752
60.394,256.012
60.394,275.332
51,267.604
69.788,178.732
51,480.768
51,84.064
74.485,249.572
172.695,191.612
78.755,92.436
90.284,264.384
68.08,295.296
129.141,133.008
126.579,190.324
179.899,156.648
81.689,154.716
47.529,78.724
100.05,365.948
108.59,201.084
256.332,76.792
187.585,161.8
178.618,94.18
53.08,61.336
147.02,105.128
254.197,76.792
77.846,40.728
67.171,134.108
119.265,82.588
160.257,53.608
89.857,289.5
332.82,332.648
64.237,418.944
62.956,439.552
79.609,440.84
146.221,292.72
71.069,421.52
75.766,417.656
155.188,327.496
67.653,331.36
51,355.188
75.766,306.244
51,346.172
191.056,312.684
129.141,346.816
163.301,326.208
155.615,326.852
169.279,328.784
58.259,442.128
62.956,442.128
69.788,449.212
142.805,468.532
150.064,207.712
51,422.164
51,571.572
51,259.876
51,300.448
66.799,533.576
70.215,547.1
91.138,349.392
132.13,499.444
203.866,335.224
103.948,262.452
51,205.78
66.372,447.28
51,437.62
51,191.612
72.35,174.224
64.664,456.94
135.546,532.288
53.507,488.952
56.923,497.324
69.306,126.38
83.824,126.38
115.422,287.38
114.141,209.456
53.08,223.624
258.04,92.892
188.866,340.832
66.744,231.996
237.117,85.164
48.81,456.752
100.904,290.6
175.257,292.72
224.362,250.216
134.692,273.4
174.83,272.756
269.624,241.2
159.885,288.212
201.731,181.308
174.83,326.852
249.982,359.696
127.006,276.62
177.392,388.032
306.346,265.028
182.089,146.532
188.067,247.64
181.235,259.232
145.367,306.888
113.769,324.92
163.301,388.032
178.246,309.464
197.034,338.444
147.075,304.956
177.392,337.8
135.546,352.612
131.276,199.34
188.921,221.88
129.995,208.356
363.137,265.672
173.122,203.848
156.469,385.456
144.94,205.78
108.218,447.28
99.251,440.84
127.86,430.536
178.246,391.252
152.199,143.312
162.447,326.208
148.356,348.748
97.543,404.132
177.392,261.808
217.957,275.332
207.282,213.508
133.411,245.064
192.764,302.38
207.282,138.804
453.234,335.868
178.673,268.248
207.282,200.628
128.714,277.908
115.05,311.396
77.901,357.12
252.544,246.352
235.891,251.504
238.88,232.184
235.037,527.78
226.07,387.388
158.604,358.408
407.972,444.06
253.398,252.792
206.001,240.556
167.144,280.484
193.618,368.712
108.218,403.488
118.466,337.8
212.833,175.512
97.97,69.896
132.557,134.296
208.563,298.516
171.414,246.352
199.169,202.56
209.417,367.424
182.089,310.752
196.18,399.624
156.896,265.028
121.028,70.54
291.401,216.084
167.144,240.556
161.593,272.112
147.075,321.7
165.009,287.568
155.188,287.568
139.389,384.812
50.091,465.124
51.799,427.128
401.512,290.6
243.095,89.028
277.682,107.06
100.477,288.024
201.676,83.876
232.847,93.536
230.285,118.652
215.34,87.096
221.318,115.432
63.328,303.48
285.795,93.536
94.072,302.192
61.193,302.836
50.518,266.772
104.32,285.448
117.612,281.128
55.27,422.164
68.934,412.504
58.686,485.276
76.193,410.572
51,256.656
145.367,625.024
63.383,292.076
58.259,408.64
65.518,322.988
258.095,408.64
110.78,547.1
117.612,556.116
51,313.972
127.86,657.868
51,491.072
71.069,348.104
142.805,196.764
51,452.432
95.408,332.004
79.182,478.836
77.901,478.836
64.664,411.216
51,216.084
99.251,360.34
100.959,347.46
116.331,474.328
117.612,520.696
114.196,648.852
51,115.62
51,453.076
66.799,430.536
80.463,229.608
70.215,526.492
127.86,397.692
51,541.948
135.973,634.684
64.237,287.568
78.328,377.728
75.766,508.46
62.956,238.624
63.383,196.12
92.419,374.508
62.956,473.684
51,198.696
81.317,321.056
154.334,549.676
81.744,401.556
85.16,394.472
175.257,252.792
51,507.816
81.744,321.7
94.554,284.348
144.94,299.804
94.127,252.792
86.441,190.324
60.821,454.364
83.025,163.276
74.485,284.348
207.282,319.768
86.441,369.356
108.218,504.596
85.16,496.868
151.29,509.56
123.535,555.284
62.047,244.232
65.89,387.844
54.788,224.912
263.591,87.74
216.621,170.172
71.014,249.384
170.505,94.824
86.386,169.528
51,246.996
51,239.268
51,449.212
51,519.408
121.028,494.936
68.934,611.5
66.372,306.888
73.631,301.092
109.499,458.872
349.046,70.54
77.047,438.908
194.899,393.184
115.05,660.444
148.783,662.376
71.069,288.212
163.728,299.804
153.48,215.44
60.821,432.468
60.821,444.704
248.701,241.2
357.159,99.52
93.273,299.16
51,279.196
69.788,294.008
51,341.664
62.956,328.784
67.653,449.212
65.518,423.452
129.995,248.928
171.414,512.324
110.78,525.848
83.025,317.836
140.243,266.96
114.196,272.756
181.235,476.904
169.279,681.052
87.722,69.252
133.838,248.928
95.835,261.808
51,203.848
111.634,241.844
66.799,436.976
51,142.668
79.609,190.324
132.557,72.472
65.518,267.604
51,385.456
51,453.076
95.408,307.532
238.88,494.936
110.353,351.324
72.35,424.096
164.1,124.448
53.08,441.296
101.331,62.624
56.923,238.436
100.05,80.656
74.857,479.936
43.686,403.3
221.318,147.632
56.069,152.14
59.485,274.5
49.664,516.644
107.736,76.792
51,224.456
64.237,353.9
63.383,393.184
156.469,307.532
51,252.148
57.405,380.304
77.047,277.908
83.879,307.532
89.857,558.048
51,536.152
51,228.32
98.824,306.888
62.956,214.152
51,457.584
62.956,478.836
74.912,406.064
51,342.952
66.372,465.312
51,248.928
166.717,346.816
150.064,393.828
60.821,230.252
76.193,470.464
51,163.276
81.744,451.788
217.957,93.724
73.631,480.768
51,630.82
64.664,563.844
66.372,475.616
78.328,330.716
110.78,426.672
129.995,536.796
171.841,201.916
116.331,409.284
51,125.28
62.956,238.624
86.441,637.26
198.315,167.784
187.64,198.696
153.053,341.664
119.747,304.956
105.656,450.5
121.882,441.484
62.102,517.476
78.7,593.28
292.2,437.432
48.81,221.048
129.94,397.504
89.802,109.636
155.133,400.08
188.012,146.988
76.138,272.568
155.987,192.712
193.136,148.92
82.543,407.164
131.648,306.056
88.521,99.976
128.714,289.5
214.114,327.496
148.356,213.508
158.604,284.992
229.486,332.004
156.896,183.884
169.279,302.38
194.899,342.308
159.031,241.844
193.618,332.004
169.279,272.112
117.185,407.996
138.535,417.656
267.489,460.16
182.943,421.52
171.841,185.172
129.995,252.148
201.731,267.604
177.392,386.744
178.673,382.236
170.56,358.408
186.786,187.104
89.857,125.28
231.621,221.236
119.747,331.36
163.728,336.512
156.469,388.032
220.946,342.308
211.979,309.464
136.827,411.86
63.383,407.996
233.756,219.304
100.959,324.92
243.15,342.952
245.285,339.732
181.235,244.42
184.651,424.74
148.783,271.468
210.698,245.064
319.156,205.136
230.767,329.428
150.064,495.58
203.012,470.464
187.64,234.116
133.838,436.976
206.428,188.392
280.299,385.456
187.64,251.504
189.775,295.296
203.866,199.984
156.469,146.532
155.188,413.792
199.169,313.972
198.315,333.936
243.15,373.864
200.45,316.548
243.15,242.488
211.125,205.78
79.182,243.132
147.502,478.192
159.885,294.652
91.138,143.956
123.163,526.492
162.392,418.112
257.186,121.872
100.05,424.552
116.276,127.668
207.227,45.88
196.979,74.216
89.802,156.648
199.114,72.928
182.888,222.98
159.83,105.772
222.172,294.464
214.486,226.2
189.293,217.184
126.524,295.752
385.286,470.92
270.85,640.936
438.289,269.536
450.672,428.604
437.008,404.132
452.807,424.74
426.76,406.708
436.581,420.876
327.696,287.568
398.578,372.576
426.333,151.684
468.179,201.272
478,245.064
432.311,237.98
404.983,182.596
457.504,335.224
407.118,249.572
447.256,391.252
457.931,189.68
464.336,254.08
449.818,397.048
428.895,404.776
435.727,388.676
336.663,167.14
422.063,386.1
443.84,109.824
433.592,355.188
326.415,292.72
453.234,494.936
312.324,173.58
442.559,348.104
448.537,373.864
190.202,326.208
454.088,425.384
458.785,393.184
404.983,438.908
478,372.576
465.617,326.852
320.437,147.82
432.311,393.828
434.873,456.94
478,261.808
418.22,382.236
462.628,547.1
411.815,292.076
378.082,346.816
345.63,216.728
304.211,358.408
460.066,490.428
478,420.876
395.162,126.568
455.369,389.32
363.137,484.632
451.099,427.96
381.498,304.312
451.099,528.424
445.121,464.024
456.223,505.24
451.953,425.384
324.707,255.368
386.195,259.232
408.399,417.012
337.944,329.428
454.515,439.552
460.066,445.348
451.953,404.132
387.049,599.908
365.699,393.828
444.694,420.232
450.672,421.52
396.443,460.16
435.727,426.028
426.333,407.352
420.782,426.028
437.862,337.8
465.617,425.384
396.443,400.912
457.504,510.392
416.512,353.256
445.975,605.06
430.176,394.472
458.785,474.328
442.559,494.292
478,505.884
333.192,606.804
377.173,174.036
429.694,81.944
324.225,121.228
449.336,179.188
318.674,161.8
385.286,264.196
319.955,327.308
374.184,593.924
433.11,72.284
346.002,546.912
140.67,168.428
125.725,212.864
134.692,382.88
179.527,293.364
76.193,286.28
300.795,218.016
150.064,264.384
131.276,238.624
253.398,246.352
106.083,228.964
259.376,400.912
211.979,325.564
160.312,319.124
146.221,258.588
212.833,274.688
140.243,185.816
131.276,241.844
150.064,386.1
73.204,259.232
119.747,263.096
194.472,239.268
181.235,262.452
179.527,295.94
197.888,280.484
171.414,254.724
138.108,267.604
164.527,280.94
214.059,311.852
266.58,81.944
214.486,321.512
228.15,163.088
271.759,380.304
144.086,346.816
182.943,272.756
178.673,300.448
288.412,286.924
218.811,245.064
201.731,412.504
201.304,395.76
129.141,284.992
147.075,432.468
258.095,212.864
327.696,267.604
458.785,651.428
140.243,245.708
226.07,473.04
182.089,417.012
129.141,260.52
338.798,252.148
287.985,198.052
298.233,333.292
186.359,379.66
170.56,378.372
402.421,451.144
383.633,390.608
308.054,500.732
165.009,316.548
120.601,289.5
275.175,379.66
122.309,272.112
