y,x
384.06,213.508
397.724,244.42
388.757,262.452
385.341,269.536
283.288,240.556
374.666,246.996
418.647,263.096
387.049,176.156
428.041,180.02
275.602,355.832
336.236,212.22
331.112,210.288
288.412,344.24
320.437,252.792
461.347,199.984
363.137,183.884
353.743,282.416
363.991,189.68
406.691,453.076
452.807,315.904
300.795,248.928
363.991,196.12
327.696,183.24
255.533,245.064
289.266,180.02
377.228,136.872
313.605,319.124
310.189,243.132
336.236,304.312
341.36,270.824
410.534,319.124
336.236,210.288
334.101,236.048
325.134,243.132
371.25,289.5
205.147,99.52
410.534,373.864
398.578,188.392
314.459,228.32
353.743,263.096
434.446,240.556
376.801,373.864
400.286,334.58
372.104,285.636
431.457,265.028
364.418,254.08
327.696,256.656
357.159,261.808
350.754,268.892
389.611,346.816
389.611,322.344
450.672,100.808
460.066,158.124
294.817,186.46
314.459,287.568
295.616,190.136
357.104,111.568
445.066,215.896
282.379,108.992
293.908,263.552
294.762,222.336
384.432,80.012
337.889,372.388
281.525,85.164
277.682,119.296
246.511,69.708
346.002,289.312
289.638,105.128
231.566,90.96
276.828,98.044
265.299,127.668
228.15,170.816
244.376,130.888
258.04,146.988
245.657,94.824
291.346,233.284
302.021,83.232
334.473,280.296
360.52,244.876
263.164,129.6
295.616,244.876
447.628,181.764
334.528,214.152
412.669,241.2
463.482,290.788
345.63,210.288
424.198,247.64
267.062,150.396
291.401,241.844
458.785,93.08
281.58,234.76
325.988,234.76
411.388,214.796
306.346,190.324
466.044,263.096
243.15,309.464
225.643,287.568
342.641,233.472
337.944,275.332
272.186,242.488
337.944,329.428
377.228,313.328
462.628,486.564
407.118,613.432
462.628,73.76
233.701,251.96
395.961,115.432
330.63,195.288
366.925,247.452
274.693,89.028
232.847,89.028
322.517,155.36
174.775,90.316
285.795,81.3
276.828,75.504
299.886,104.484
205.946,89.028
252.062,78.08
124.389,212.032
431.402,145.7
319.101,143.768
346.856,90.316
287.503,85.164
324.652,157.292
234.128,382.048
440.369,116.72
413.95,147.82
424.198,151.04
403.702,134.296
278.591,260.52
340.506,269.536
463.055,93.08
304.638,199.34
452.807,91.148
280.726,621.16
272.613,275.332
323.853,145.244
