y,x
338.798,526.492
383.633,440.84
439.57,397.692
391.746,218.016
421.636,381.592
465.617,424.096
380.217,652.716
475.865,688.78
454.088,592.18
478,532.932
464.763,483.344
437.008,309.464
469.46,464.024
462.628,464.668
475.865,688.78
354.17,462.092
348.192,494.936
468.179,314.616
373.812,120.128
454.088,552.252
422.063,275.976
419.501,256.012
248.274,485.92
273.467,268.892
133.838,302.38
113.769,364.204
309.762,380.948
179.527,327.496
292.682,512.324
264.073,258.588
227.351,496.868
162.874,367.424
325.988,298.516
145.367,299.804
333.247,341.02
222.227,476.904
148.356,310.752
202.585,290.788
157.75,394.472
167.144,353.9
189.775,313.972
187.64,307.532
356.25,430.348
277.255,338.256
390.41,394.928
340.878,445.16
248.646,224.912
360.947,309.92
66.744,457.396
415.176,438.076
287.93,389.776
371.25,569.64
468.179,322.344
379.363,350.68
398.578,507.816
283.715,389.32
364.418,335.868
163.301,494.936
448.537,128.5
372.531,526.492
290.547,521.34
70.215,658.512
440.424,460.804
455.369,479.48
468.179,374.508
445.121,419.588
465.617,494.292
467.752,432.468
465.617,424.096
373.385,528.424
411.388,606.992
76.193,663.664
407.972,602.484
454.515,467.888
150.918,500.088
81.317,655.936
127.86,491.072
255.96,486.564
380.217,490.428
417.738,425.196
147.02,496.68
372.476,421.976
390.41,161.8
446.347,217.828
390.038,122.704
446.829,388.676
455.796,451.788
460.066,525.848
439.143,670.748
464.336,387.388
335.382,357.12
329.404,187.104
410.107,161.988
308.481,178.732
299.087,565.132
462.628,263.74
373.812,453.076
300.368,324.92
452.807,154.26
466.898,409.284
452.807,420.876
454.515,512.968
464.336,240.556
465.617,176.8
467.325,173.58
287.558,335.224
371.25,329.428
441.278,320.412
384.487,527.78
468.606,462.092
468.606,462.092
399.859,530.356
282.861,165.852
330.258,396.404
442.504,397.504
440.796,476.072
332.338,517.288
335.327,544.98
453.179,212.032
446.347,616.464
438.234,195.288
209.789,199.152
389.983,396.86
332.338,226.844
392.972,257.756
302.021,112.212
448.909,472.852
357.958,127.668
394.253,525.66
386.195,410.572
402.421,253.436
433.592,324.92
433.592,345.528
446.402,407.352
296.525,330.716
322.999,541.304
211.979,464.024
220.946,475.616
255.533,435.688
416.512,324.276
367.407,468.532
396.87,418.3
269.624,386.744
131.276,599.908
117.185,397.048
456.223,445.348
126.579,611.5
386.195,344.884
463.482,528.424
380.644,655.936
367.407,481.412
437.862,357.12
270.905,413.792
167.998,568.352
396.87,614.076
342.641,413.792
459.212,485.276
464.763,508.46
297.379,404.776
449.818,642.412
152.199,441.484
79.609,558.048
324.707,663.664
406.691,670.104
457.504,149.108
338.798,140.736
369.914,482.512
436.953,499.256
324.652,552.708
320.809,563.656
246.084,397.504
398.523,600.364
100.904,206.236
396.388,309.92
293.054,172.748
397.669,112.856
375.038,382.048
395.534,396.86
388.275,186.916
461.347,443.416
408.399,360.34
334.528,357.12
279.018,411.216
465.617,200.628
408.399,393.828
384.06,576.08
470.741,391.252
331.112,548.388
470.741,275.332
415.231,422.164
262.365,387.388
411.815,613.432
361.002,435.044
373.385,406.708
349.473,235.404
420.782,633.396
339.652,497.512
329.831,518.764
340.933,489.784
357.159,504.596
466.044,373.22
314.459,504.596
281.153,551.608
104.802,579.3
316.167,243.132
423.344,431.824
361.856,414.436
388.757,552.896
478,538.084
202.585,388.032
395.162,397.048
341.36,169.072
399.005,485.276
444.212,541.76
265.726,502.476
359.666,213.32
351.98,481.868
363.509,540.472
380.162,628.056
449.336,170.816
286.649,57.472
449.336,268.704
255.905,420.688
439.942,285.448
186.304,379.472
379.308,288.024
322.944,618.396
353.688,607.448
440.796,397.504
373.33,481.224
437.38,309.276
382.779,395.116
459.212,531.644
414.749,629.344
430.548,634.496
394.308,322.344
322.572,628.244
305.492,546.456
399.005,221.88
369.115,561.268
354.597,458.872
404.556,596.688
397.724,642.412
407.118,658.512
230.767,642.412
72.35,328.784
412.669,487.208
462.201,494.936
464.336,318.48
370.396,470.464
458.785,507.816
470.314,503.308
283.288,503.952
463.482,423.452
462.201,289.5
464.336,221.88
449.391,458.872
372.104,483.988
466.898,203.848
442.986,481.412
352.889,489.784
425.052,329.428
433.165,463.38
399.005,443.416
52.226,432.28
413.895,429.06
358.812,468.344
255.905,517.288
308.853,588.128
245.23,222.336
371.195,104.484
357.104,128.956
317.82,611.312
361.374,104.484
275.974,487.02
445.066,407.808
297.324,508.272
324.707,352.612
431.457,156.836
387.049,281.128
340.933,275.332
333.247,391.252
363.991,540.016
407.972,412.504
457.931,537.44
346.057,339.732
395.162,642.412
449.818,197.408
408.399,357.764
310.189,357.12
411.388,143.956
444.694,471.108
394.308,464.668
384.06,519.408
331.112,663.664
404.556,568.352
400.286,547.744
265.354,365.492
349.473,424.74
376.801,274.688
316.167,329.428
274.321,466.6
293.963,411.86
403.702,317.836
251.263,388.032
232.902,511.68
342.214,682.34
74.912,463.38
85.16,538.728
115.477,507.172
53.135,688.78
211.125,334.58
144.94,459.516
106.083,299.16
158.604,384.812
67.653,391.896
163.301,373.864
75.766,388.032
157.75,493.004
172.695,447.28
179.954,682.34
440.369,437.432
230.285,509.56
290.065,599.72
89.375,459.328
63.328,231.996
245.23,208.812
119.692,288.668
220.891,220.404
430.975,303.48
333.247,503.952
445.121,321.056
329.831,501.376
401.14,512.324
444.694,509.748
321.291,525.848
321.718,473.684
407.118,512.324
475.011,690.068
438.289,325.564
418.22,534.864
372.531,491.716
453.234,516.832
388.33,532.288
346.057,512.968
475.865,688.78
439.143,538.084
404.556,496.868
403.702,473.684
112.915,588.316
154.334,596.044
279.872,498.156
365.699,279.196
246.566,514.256
235.891,480.768
433.592,531
290.547,462.092
358.44,497.512
158.604,515.544
143.659,509.748
381.498,515.544
366.553,619.872
475.865,688.78
292.682,546.456
360.575,525.848
321.718,474.328
71.069,605.704
104.802,679.764
103.948,534.22
95.835,552.896
441.278,549.676
373.385,501.376
343.068,663.664
478,516.832
296.525,261.808
201.731,306.888
460.066,425.384
328.977,350.036
336.663,318.48
321.291,403.488
179.954,474.972
155.615,673.968
187.64,417.012
253.825,487.208
172.695,494.292
182.943,541.304
255.533,468.532
475.865,688.78
404.928,285.448
251.208,225.556
277.682,461.904
375.947,473.684
419.928,315.26
461.347,493.004
318.302,546.456
327.696,496.868
286.704,464.024
403.275,341.02
427.614,525.204
332.82,516.832
258.949,370
359.721,508.46
436.581,209.644
357.159,611.5
451.099,252.792
435.727,512.324
355.024,391.252
401.14,570.928
385.341,272.756
315.74,266.316
298.233,335.224
146.221,502.02
457.504,453.076
454.088,420.232
328.55,256.656
238.453,432.468
404.556,500.732
475.865,688.78
369.115,464.668
372.531,485.92
333.247,398.98
260.657,485.276
301.649,514.9
478,209
457.504,178.732
462.628,527.78
478,578.012
466.898,420.232
471.595,418.3
466.044,548.388
432.311,569.64
465.617,494.292
350.327,498.156
119.747,339.088
68.08,478.192
66.372,507.172
70.215,539.372
132.13,669.46
94.127,528.424
175.257,505.24
214.541,503.308
310.988,529.524
451.898,424.552
451.044,494.104
448.482,464.48
399.804,60.048
314.831,333.104
361.801,74.86
411.76,653.816
400.286,666.884
478,650.784
447.683,346.172
461.347,430.536
465.617,510.392
469.033,480.124
97.543,401.556
94.554,210.288
81.317,437.62
73.204,466.6
453.234,503.952
325.134,503.952
475.865,688.78
270.905,486.564
456.65,452.432
416.085,191.612
453.234,189.68
135.973,440.84
314.886,386.1
372.531,547.744
475.865,688.78
402.421,611.5
405.837,339.732
141.896,620.972
448.482,173.392
348.564,621.616
104.747,245.52
71.014,403.3
386.14,392.352
128.659,381.404
340.933,409.284
419.928,404.776
335.382,281.128
313.605,379.016
437.862,649.496
357.586,348.104
465.617,317.836
369.969,308.176
351.608,394.472
431.457,404.132
296.525,344.884
425.479,248.928
391.746,413.792
172.695,531.644
61.248,310.752
62.956,400.912
129.995,537.44
268.343,370.644
150.064,482.056
260.23,368.068
466.898,466.6
463.482,561.912
276.883,407.352
258.095,505.24
165.863,411.216
307.627,419.588
433.592,324.276
293.109,507.172
342.214,517.476
199.169,518.764
452.807,440.196
173.976,426.028
230.767,351.968
422.063,404.776
469.033,299.804
464.336,332.648
461.347,327.496
274.321,341.664
194.472,503.952
464.763,512.324
345.148,406.52
125.67,459.972
243.949,510.848
412.187,319.58
176.91,353.712
300.74,488.308
75.284,213.32
353.688,474.14
244.376,405.232
324.225,146.344
112.86,450.312
262.737,331.172
366.553,511.036
451.099,489.784
461.347,393.828
469.033,500.088
344.776,320.412
395.162,532.288
343.495,478.192
464.763,513.612
423.344,513.612
276.883,418.3
268.343,530.356
475.865,688.78
475.865,688.78
291.828,455.652
466.044,636.616
332.82,335.224
83.879,652.716
71.496,646.276
441.705,284.992
