y,x
182.943,471.108
92.419,391.252
71.496,505.24
60.821,505.24
301.649,627.6
144.94,397.048
311.47,512.324
182.089,320.412
106.937,205.78
115.05,417.012
249.128,521.984
85.16,428.604
163.301,402.2
165.863,115.62
170.56,451.788
150.064,456.94
139.389,175.512
411.815,427.96
407.118,508.46
464.336,503.952
304.211,255.368
458.785,552.896
469.033,471.752
446.402,442.128
229.486,552.896
375.947,457.584
457.931,191.612
400.286,483.988
95.78,473.496
67.598,236.504
413.468,617.108
384.859,642.868
334.473,499.9
53.08,320.224
420.727,526.948
225.588,512.78
288.784,322.8
57.35,298.972
101.331,331.172
202.957,325.376
381.87,452.888
402.366,483.156
112.86,268.06
325.988,257.944
62.102,491.072
80.463,472.396
257.241,413.792
197.888,610.856
51,411.216
131.276,511.036
95.835,348.748
90.711,379.66
193.563,410.384
54.788,393.64
141.896,452.888
85.959,407.164
170.078,439.364
273.412,469.632
112.86,71.64
127.805,235.216
64.237,481.412
220.946,309.464
138.108,302.38
60.394,281.772
135.973,550.32
187.213,296.584
83.025,563.844
87.722,384.168
62.956,410.572
270.905,169.072
342.214,297.228
206.428,527.136
68.08,359.052
333.247,236.048
90.284,497.512
169.279,270.824
156.469,317.836
162.874,228.32
129.141,568.996
239.307,648.852
456.65,415.724
456.65,424.096
65.945,195.476
186.786,409.928
451.526,499.444
50.518,423.264
105.174,367.88
316.966,188.848
294.335,96.112
282.379,80.012
116.276,472.852
47.102,218.472
102.24,415.08
225.643,532.288
126.579,385.456
62.956,476.904
77.901,334.58
434.446,431.18
418.647,491.716
82.598,344.24
204.293,469.82
171.841,417.012
146.221,429.248
305.492,505.884
149.637,465.312
368.688,498.156
416.085,536.796
393.027,515.544
121.882,431.18
200.45,458.228
145.367,401.556
218.756,632.564
253.77,192.712
246.084,626.124
269.996,629.344
111.579,289.956
237.544,423.908
114.568,523.084
201.676,547.556
103.521,413.148
470.314,295.94
206.001,487.208
241.015,413.148
184.224,430.536
75.766,314.616
137.254,531
61.248,312.04
138.108,508.46
66.799,560.624
301.649,505.884
333.247,578.012
130.422,459.516
115.05,490.428
373.385,512.968
320.437,565.132
71.496,538.728
98.824,352.612
390.892,448.568
414.804,503.952
167.998,397.692
260.657,544.524
337.517,663.02
117.612,385.456
149.637,463.38
64.237,470.464
210.698,532.288
142.805,495.58
325.988,538.728
189.775,469.82
168.425,611.5
140.243,541.304
127.006,114.332
80.463,108.536
93.273,176.156
194.472,607.636
134.692,505.884
53.507,588.128
114.568,414.892
223.453,63.912
268.715,60.048
58.204,331.816
199.968,455.464
146.166,384.624
274.266,56.184
85.959,340.832
437.38,266.128
237.971,380.76
253.77,249.384
140.188,595.856
229.486,446.636
256.814,530.356
232.902,362.916
265.781,563.844
113.769,609.568
83.879,365.492
223.508,399.624
72.35,309.464
140.243,384.168
316.167,569.64
166.717,541.948
456.65,500.088
445.121,473.684
155.188,601.196
390.892,442.128
203.012,294.652
171.841,529.712
156.896,360.34
96.689,467.888
115.477,685.56
100.105,556.116
390.465,539.372
133.838,311.396
83.879,261.808
346.911,545.812
358.867,553.54
403.275,333.936
304.638,336.512
235.891,454.364
230.34,536.796
293.963,359.052
401.994,527.78
202.585,398.336
393.454,408.64
365.272,429.248
209.417,534.22
131.276,617.296
46.248,579.112
93.218,312.496
452.752,526.304
69.306,558.504
82.97,646.088
188.012,589.416
169.224,512.136
291.346,525.66
182.461,488.308
253.77,601.008
205.946,427.772
243.522,610.668
259.321,646.732
111.579,336.324
208.508,380.116
154.706,512.136
117.984,491.528
466.898,420.232
59.54,433.112
127.86,671.392
62.102,440.84
267.489,474.972
418.647,460.804
65.518,367.424
79.609,507.172
178.246,565.776
321.718,538.084
168.425,362.916
157.75,630.82
88.576,375.796
179.954,483.344
115.05,498.156
269.624,380.304
350.327,314.616
367.834,443.416
275.175,573.504
404.983,466.6
247.847,268.892
166.717,267.604
182.089,670.748
74.912,342.952
182.089,606.348
250.836,436.332
450.672,462.092
87.722,466.6
452.807,288.856
71.069,398.98
364.418,556.116
111.152,460.616
168.797,619.04
160.684,594.568
330.63,501.188
76.565,440.008
249.927,624.192
135.064,472.208
202.585,235.404
81.744,534.864
61.248,357.764
104.802,599.908
124.017,577.368
168.425,628.244
416.085,510.392
274.321,462.092
66.372,424.096
140.243,297.872
145.367,508.46
91.138,585.74
374.666,432.468
71.496,418.944
379.363,451.144
372.531,285.636
464.336,462.092
153.053,631.464
276.456,407.352
328.55,530.356
153.053,537.44
65.518,445.348
462.628,287.568
445.975,484.632
64.664,321.7
118.893,637.904
133.411,557.404
136.827,561.912
100.105,642.412
328.55,355.188
408.399,447.28
366.553,426.672
370.396,678.476
254.679,246.996
372.476,457.396
299.032,503.764
119.265,642.224
433.537,481.224
252.916,597.788
270.85,488.952
232.847,88.384
283.233,62.624
133.356,279.008
164.954,371.744
138.108,534.864
439.57,276.62
399.005,478.192
215.822,599.264
161.166,412.504
422.917,339.732
51,360.34
98.824,392.54
331.112,511.036
407.118,444.704
375.947,494.936
165.436,493.004
275.602,324.276
226.924,344.884
178.246,402.2
94.127,505.884
133.411,472.396
64.237,316.548
426.333,537.44
385.341,543.236
83.879,551.608
66.372,517.476
203.866,510.392
192.764,423.452
129.141,549.676
355.878,351.968
310.189,392.54
460.92,497.512
358.867,500.088
174.83,489.784
199.169,652.716
278.591,380.304
77.901,543.236
129.568,576.724
394.308,508.46
62.047,591.348
155.56,401.368
299.032,549.488
187.585,580.4
192.709,590.704
372.476,369.168
303.302,152.784
176.91,410.384
372.903,442.584
328.068,437.432
296.043,431.636
284.514,380.76
324.652,488.952
184.651,414.436
331.966,378.372
79.609,567.708
67.653,367.424
363.991,516.832
225.643,500.088
172.695,389.32
173.976,131.72
194.472,391.896
113.769,410.572
93.273,415.724
322.999,511.036
451.953,541.304
424.198,444.704
94.554,457.584
282.434,517.476
68.08,531
64.664,514.9
138.535,537.44
143.659,497.512
228.205,528.424
81.744,355.832
160.312,497.512
371.25,518.764
357.159,494.292
250.836,507.816
380.644,483.988
383.633,481.412
354.17,600.552
199.596,478.836
443.84,467.888
367.834,491.716
217.53,544.524
455.369,426.672
236.318,349.392
206.428,511.036
285.795,344.696
272.558,402.656
292.2,617.752
96.634,464.48
68.025,405.232
50.518,478.004
59.912,164.376
222.599,83.876
196.552,374.32
212.778,338.256
85.105,608.092
268.288,628.7
330.203,488.952
112.006,456.752
354.542,552.064
268.288,486.376
79.609,284.348
284.569,326.852
165.863,424.74
62.102,433.756
133.411,495.58
173.122,560.624
207.282,460.804
80.463,419.588
159.031,485.92
147.075,622.448
95.408,581.232
84.306,287.568
59.54,410.572
59.967,427.316
240.588,479.48
65.518,512.968
145.367,635.972
64.664,340.376
378.082,645.632
426.76,528.424
384.914,530.356
320.437,520.696
186.786,344.884
62.102,511.68
66.799,486.564
219.238,382.236
173.976,412.504
322.999,430.536
79.182,415.08
141.951,538.084
157.75,655.936
125.725,603.772
71.069,444.06
74.912,446.636
293.963,508.46
215.822,485.92
466.044,460.16
262.792,572.216
142.805,234.116
320.437,577.368
170.987,532.288
169.279,514.9
140.67,498.156
95.408,532.932
93.273,534.864
90.711,616.652
90.711,563.844
270.905,480.124
377.228,509.748
135.973,664.308
232.902,521.984
222.654,511.036
222.227,506.528
68.08,466.6
167.998,115.62
231.566,51.676
269.142,595.212
152.571,420.688
68.879,486.376
384.005,376.896
62.102,462.092
66.372,506.528
70.215,326.208
112.915,302.38
120.601,360.984
127.006,321.7
121.882,663.02
132.13,558.048
66.799,601.196
100.105,468.532
60.821,456.94
62.102,431.18
61.248,447.28
460.92,287.568
460.066,258.588
426.333,331.36
380.217,407.996
361.856,332.004
354.17,342.308
281.58,404.776
444.694,185.172
407.118,267.604
461.347,309.464
166.717,371.288
145.367,517.476
145.367,533.576
106.937,398.98
108.218,308.176
180.808,319.124
114.196,567.064
235.891,473.684
125.725,333.936
149.637,322.344
313.605,462.092
281.153,392.54
62.956,487.852
124.017,142.668
96.689,571.572
80.463,303.024
94.554,585.096
110.78,429.248
165.863,605.06
121.028,663.02
79.609,590.248
105.656,527.78
107.364,652.072
110.353,622.448
238.453,505.24
74.43,442.584
53.934,580.4
402.366,454.176
111.152,554.64
141.896,492.816
126.097,626.768
80.408,291.888
134.21,647.376
271.704,222.98
145.312,328.596
98.342,648.664
196.18,391.896
399.005,399.624
375.52,418.944
390.892,443.416
458.358,471.752
383.633,227.676
456.65,415.724
390.465,447.924
335.382,283.06
458.785,281.772
430.176,292.076
469.033,467.888
457.931,465.312
348.192,399.624
410.534,408.64
186.786,531
80.463,327.496
456.65,466.6
470.314,465.312
415.231,655.936
71.496,233.472
87.722,273.4
192.764,359.052
459.212,508.46
240.588,515.544
136.827,442.128
167.144,496.868
142.805,484.632
307.627,351.968
108.218,454.364
63.383,435.044
68.934,313.328
87.295,322.344
95.835,431.18
155.615,498.156
138.535,452.432
174.83,500.088
167.998,574.792
176.538,528.424
214.114,495.58
283.715,461.448
121.028,486.564
90.711,442.128
172.695,648.852
390.892,439.552
75.766,454.364
367.407,662.376
79.182,488.496
116.331,395.76
131.276,357.12
68.08,421.52
66.799,420.232
74.912,339.732
79.609,332.648
87.295,319.768
67.653,327.496
445.066,410.384
86.386,420.688
71.868,410.384
172.213,192.712
158.122,469.632
108.163,506.984
193.563,601.008
150.863,623.548
420.3,536.608
381.443,649.952
389.983,515.356
332.338,194.644
61.62,474.784
168.797,382.048
324.652,387.2
84.251,246.808
258.04,644.8
194.844,534.676
71.868,410.384
244.803,629.988
56.496,435.5
106.083,418.944
106.083,469.82
115.05,315.904
239.734,491.072
51,345.528
51,585.096
313.178,520.052
214.114,546.456
268.343,485.276
95.408,384.812
87.295,453.72
369.115,514.256
367.834,441.484
201.304,464.024
186.786,357.764
356.305,478.836
377.228,548.388
194.899,353.256
77.901,514.9
316.167,418.944
64.664,484.632
163.728,561.268
380.644,424.74
451.099,273.4
451.099,505.24
274.748,630.82
306.773,299.16
308.908,388.032
62.102,476.904
