y,x
412.669,411.86
289.266,395.76
463.482,276.62
329.404,211.576
447.256,290.788
399.005,384.168
424.198,398.98
397.724,317.836
341.36,313.972
389.611,428.604
419.501,332.004
391.746,175.512
302.93,218.66
222.227,357.12
403.275,406.064
437.008,445.992
440.424,470.464
272.186,402.2
411.815,385.456
432.311,398.98
455.369,348.104
277.737,304.956
421.636,424.74
362.283,386.1
241.869,256.656
210.698,228.964
199.596,231.54
342.214,340.376
365.699,310.752
203.866,417.656
249.982,357.764
240.161,281.772
451.953,434.4
454.515,272.112
378.936,220.592
384.005,295.752
382.724,88.384
398.523,410.384
232.42,94.18
236.263,159.868
273.412,148.92
382.297,382.048
386.195,279.196
290.12,393.184
330.685,400.268
234.183,236.048
279.872,375.796
199.596,456.94
205.147,421.52
172.695,512.324
329.831,185.816
211.979,248.284
53.135,688.78
260.657,369.356
422.063,448.568
282.434,460.16
211.125,458.228
420.782,335.868
421.636,380.948
400.286,436.976
331.112,433.756
433.165,467.888
366.553,471.752
459.212,453.076
367.834,331.36
53.135,688.78
468.179,252.148
252.544,326.208
464.336,413.792
464.336,313.328
357.159,450.5
53.135,688.78
226.924,277.908
141.524,485.92
66.799,678.476
60.821,533.576
327.214,490.884
109.017,58.116
89.802,242.944
124.389,177.256
442.504,455.464
283.66,456.752
351.553,456.752
184.169,159.868
389.556,95.468
206.373,108.992
214.059,102.552
330.203,451.6
228.15,508.272
361.374,275.144
250.354,361.44
184.596,244.232
258.949,378.372
464.336,250.86
405.837,488.496
209.417,295.94
475.865,688.78
462.201,541.948
396.016,383.524
203.439,250.86
454.088,175.512
295.671,341.02
198.315,274.688
405.41,195.476
409.253,310.108
404.129,397.048
392.6,459.516
298.233,388.032
452.807,348.748
372.958,413.148
340.506,527.78
394.735,278.552
219.665,227.032
410.107,287.568
370.396,350.68
328.977,514.256
135.119,247.64
189.775,412.504
176.538,396.404
296.525,294.652
393.454,223.812
53.135,688.78
148.728,258.4
161.538,215.896
405.355,219.76
277.682,277.72
141.469,197.864
393.399,90.316
236.69,238.436
179.899,204.304
192.709,164.376
279.39,165.664
232.847,122.516
102.612,145.056
187.158,513.424
264.5,370
407.118,301.736
417.366,446.636
253.825,471.108
142.805,225.1
71.496,254.724
262.365,385.456
223.508,340.376
301.649,353.256
410.107,410.572
414.804,212.864
334.528,445.992
251.263,364.204
388.757,347.46
398.578,498.156
429.749,304.312
210.698,332.004
463.482,294.652
224.789,342.952
95.835,560.624
380.644,358.408
255.533,404.132
412.669,447.28
400.286,489.784
451.953,466.6
286.704,483.344
254.679,475.616
354.17,399.624
344.776,420.876
356.305,425.384
386.195,442.128
326.415,481.412
305.492,520.696
353.743,469.82
438.289,439.552
327.269,299.804
180.808,248.928
331.966,409.284
238.88,499.444
295.244,337.8
231.621,341.664
194.899,392.54
287.131,404.132
102.24,398.98
56.551,440.84
51,433.756
311.043,234.116
431.457,401.556
371.25,560.624
191.056,440.196
258.949,294.652
240.588,505.24
312.324,418.3
262.792,493.004
314.459,431.18
267.489,496.868
209.844,427.96
285.85,466.6
253.398,501.376
102.24,403.488
247.847,494.936
184.651,258.588
333.247,399.624
306.773,490.428
475.865,688.78
402.421,634.684
476.719,689.424
273.04,388.676
193.618,426.028
179.527,293.364
184.651,444.06
158.604,384.812
298.66,336.512
237.599,470.464
257.241,481.412
247.42,499.444
298.233,404.776
276.883,399.624
263.646,487.208
475.865,688.78
156.469,487.852
182.943,545.168
420.782,479.48
422.917,474.328
443.84,489.784
258.949,349.392
205.147,408.64
384.914,250.216
273.04,492.36
325.506,409.74
348.564,518.576
229.431,496.036
356.677,573.316
281.952,441.94
171.786,228.776
392.545,67.132
240.533,430.348
170.505,481.868
246.084,365.948
400.658,206.236
155.56,243.588
376.746,188.848
269.996,388.488
198.26,423.264
144.885,490.24
128.232,527.592
441.278,417.656
289.266,275.332
403.702,313.972
369.115,281.772
446.402,358.408
398.578,301.736
418.22,386.1
385.341,336.512
459.212,466.6
150.918,211.576
394.308,405.42
415.231,333.936
414.804,421.52
247.42,452.432
280.299,404.776
387.049,360.984
373.385,447.28
237.172,130.432
237.172,393.184
329.831,402.2
367.407,511.68
432.311,350.68
449.391,393.184
408.399,557.404
393.027,461.448
379.363,414.436
405.837,490.428
299.941,405.42
351.608,400.912
167.144,467.244
475.865,688.78
323.853,355.832
360.575,477.548
123.163,486.564
231.621,479.48
311.043,306.244
462.628,239.912
475.865,688.78
273.04,380.304
331.112,316.548
464.763,340.376
403.702,429.248
367.834,483.988
149.637,225.1
118.466,248.928
272.186,268.248
400.286,320.412
435.727,345.528
421.636,265.672
417.366,260.52
