y,x
413.95,208.356
478,315.26
437.862,328.784
465.617,338.444
478,384.168
321.291,178.088
478,262.452
470.314,259.876
409.253,260.52
385.341,335.224
454.515,464.024
465.617,435.688
478,216.084
444.694,412.504
293.109,148.464
455.369,390.608
447.683,403.488
459.212,404.776
445.975,423.452
449.818,423.452
458.785,245.064
478,402.2
478,154.904
396.016,65.388
413.523,268.248
460.066,458.228
404.983,431.824
344.776,119.484
372.531,308.82
423.344,344.884
440.424,344.24
478,650.14
453.234,225.1
404.556,120.128
478,180.664
460.92,241.844
463.482,386.744
431.03,319.768
478,307.532
468.179,329.428
424.198,303.024
416.512,587.028
282.434,198.052
463.482,410.572
441.705,476.904
451.953,481.412
478,320.412
460.066,312.684
426.76,287.568
465.617,478.192
465.617,427.316
460.92,326.852
469.033,246.352
405.837,221.88
470.741,397.048
478,431.18
372.104,94.368
366.553,252.792
412.669,458.228
447.256,437.62
449.391,483.988
322.572,189.036
478,471.752
322.999,194.188
418.22,178.088
404.983,242.488
378.936,203.848
322.999,489.784
433.592,440.196
337.944,240.556
445.92,395.572
420.3,549.488
445.066,115.432
382.297,241.012
371.622,429.704
278.109,133.464
343.44,291.244
429.267,188.204
335.327,122.516
284.941,76.148
443.785,292.532
324.225,151.496
346.002,114.788
299.032,80.656
438.234,288.668
348.991,50.388
442.931,320.224
402.793,353.068
415.176,499.9
176.056,473.496
338.743,96.112
403.275,199.34
445.975,519.408
463.482,111.756
407.972,207.068
478,100.808
343.495,263.096
401.14,135.584
478,205.78
455.369,399.624
333.247,514.256
467.752,346.172
457.931,445.348
454.515,433.112
460.066,429.248
465.617,410.572
450.672,458.228
367.407,120.772
478,245.064
445.121,268.248
478,199.34
464.763,449.212
413.95,514.9
365.699,328.14
397.724,158.768
468.179,415.08
469.46,504.596
340.933,422.164
462.201,209
366.553,283.06
469.033,457.584
422.917,452.432
342.214,399.624
451.044,209.456
419.446,44.592
408.771,174.68
389.129,321.512
453.606,96.112
277.682,183.696
451.044,116.72
430.121,253.248
387.421,152.14
342.586,70.352
451.044,116.72
263.591,115.432
437.38,474.14
304.583,87.096
299.032,109.636
304.156,84.52
377.173,92.892
408.344,48.456
398.95,344.052
350.272,452.244
448.482,409.096
408.826,64.744
453.234,273.4
437.862,292.72
457.931,318.48
454.088,553.54
430.176,212.22
478,474.328
478,395.76
451.953,496.868
478,534.22
411.388,329.428
351.181,133.652
362.71,340.376
340.933,73.116
478,588.96
330.685,414.436
375.52,350.68
330.685,233.472
381.925,347.46
446.402,351.968
410.107,449.856
478,472.396
442.986,398.98
467.325,295.94
317.448,210.288
419.501,211.576
428.468,87.928
478,172.292
399.005,310.752
317.875,156.836
414.377,283.704
446.829,428.604
440.424,282.416
408.826,57.016
321.718,99.52
394.735,200.628
468.606,265.672
460.493,416.368
463.055,319.124
455.314,423.264
448.482,636.428
436.526,128.312
349.418,100.62
328.922,87.096
440.796,430.348
426.705,81.944
439.942,137.972
329.349,221.692
325.506,154.072
288.357,92.892
262.31,75.504
445.066,300.904
446.347,42.66
420.727,224.912
464.336,312.04
459.212,413.148
360.575,279.84
478,459.516
456.65,325.564
478,266.96
454.088,236.692
464.763,485.276
478,481.412
389.611,265.028
469.033,466.6
432.311,411.86
438.289,241.2
457.931,415.724
306.773,332.648
464.763,487.208
465.617,489.784
478,96.3
416.085,442.128
448.537,326.208
435.727,532.288
463.482,517.476
413.523,237.98
456.223,298.516
428.041,645.632
438.289,377.728
401.994,95.656
466.898,265.028
336.663,335.224
395.589,424.74
454.515,453.076
466.898,518.12
461.347,434.4
442.559,300.448
372.104,528.424
464.336,467.244
312.324,192.256
478,315.26
407.972,475.616
456.65,413.148
456.65,492.36
329.831,202.56
345.63,278.552
478,332.004
390.892,536.796
478,198.696
363.991,214.796
438.289,325.564
478,500.732
405.837,303.024
460.92,478.836
478,614.72
460.92,614.076
434.446,324.276
478,485.92
407.972,251.504
469.033,445.348
439.57,234.76
331.966,292.076
478,161.988
398.578,273.4
460.92,506.528
435.727,657.868
478,637.904
447.256,492.36
365.699,219.948
348.192,679.12
478,464.024
461.347,288.212
426.76,397.692
423.344,565.776
372.531,634.04
345.63,558.692
411.815,647.564
332.82,167.784
478,315.26
402.421,407.996
478,382.88
478,145.244
469.46,95.012
367.407,163.276
380.644,335.224
456.223,159.412
400.286,512.324
464.763,319.124
448.482,406.52
433.964,478.648
437.38,204.948
429.694,317.648
423.289,342.764
317.82,266.128
322.09,292.532
415.176,159.224
438.234,281.584
310.988,330.528
428.84,190.136
255.051,81.3
291.773,75.504
338.316,278.364
392.972,297.684
334.9,619.04
433.964,128.312
343.44,105.128
284.087,384.624
272.131,370.456
438.234,223.624
365.644,406.52
454.46,246.164
461.347,324.276
460.92,597.976
282.434,385.456
313.178,327.496
456.223,321.056
283.715,248.284
395.589,259.232
460.92,487.208
440.424,599.908
433.165,289.5
450.672,272.756
276.456,439.552
454.088,321.056
453.234,460.16
404.556,461.448
428.041,662.376
340.079,213.508
457.504,354.544
318.302,172.936
391.746,382.236
469.033,413.148
429.749,284.992
382.779,513.612
464.336,198.052
446.402,301.736
380.644,319.768
465.617,480.768
428.041,409.284
439.57,512.324
457.504,523.272
447.683,455.652
456.223,543.88
462.201,351.324
396.443,357.764
451.099,357.764
429.749,421.52
466.044,465.956
274.321,454.364
478,460.804
456.65,531.644
444.694,304.956
465.617,332.004
418.22,277.908
368.688,181.308
478,276.62
426.76,298.516
467.752,445.348
478,424.096
478,401.556
462.201,350.68
478,478.836
478,518.764
395.162,300.448
421.636,333.936
464.763,415.08
435.727,209
449.391,350.68
468.179,466.6
405.837,262.452
465.617,492.36
410.534,135.584
373.812,518.12
123.163,401.556
232.902,189.036
478,260.52
155.188,211.576
173.976,272.756
140.243,288.212
241.015,259.232
433.165,335.224
462.201,299.16
433.592,114.332
457.931,140.092
414.804,350.68
406.691,625.668
460.92,276.62
442.559,473.684
466.898,341.664
444.694,435.044
458.785,525.848
448.537,437.62
401.14,485.276
148.356,278.552
194.899,199.984
184.651,232.184
261.511,257.944
187.64,245.708
442.077,474.784
440.796,613.888
