y,x
259.803,366.136
214.968,474.328
354.17,511.68
312.324,561.912
275.602,622.448
317.021,482.056
345.63,507.816
377.655,491.716
387.476,629.532
214.968,541.304
378.082,502.664
229.059,387.388
330.685,588.96
229.913,474.328
327.696,504.596
461.774,614.72
439.143,568.352
215.822,534.22
313.605,516.188
186.786,335.224
178.673,359.052
281.58,507.816
304.211,605.06
376.374,455.652
146.648,503.308
236.745,632.108
136.827,483.988
242.723,513.612
301.649,402.844
269.197,490.428
220.092,419.588
70.215,448.568
78.328,420.232
252.544,609.568
332.393,614.72
369.487,617.108
289.638,622.26
241.814,620.328
155.133,494.104
294.762,393.64
233.274,611.312
255.051,628.7
326.36,630.632
389.556,488.952
263.219,370.644
235.891,395.116
202.585,529.712
250.836,493.648
258.949,419.588
270.051,478.192
301.222,403.488
269.197,511.036
225.216,482.7
83.879,501.376
157.323,606.348
191.483,593.468
184.224,612.144
263.646,438.264
202.585,395.76
223.081,472.396
328.977,400.268
249.128,517.476
291.828,506.528
236.745,496.224
207.709,498.156
228.632,473.684
255.106,508.46
295.671,493.004
343.495,357.12
250.409,542.592
147.502,620.516
238.453,559.98
299.087,474.328
259.376,261.808
255.96,265.672
328.123,453.72
295.244,303.024
283.715,382.236
346.911,544.524
211.979,307.532
226.07,457.584
417.366,568.352
396.87,523.916
313.605,516.188
435.3,554.184
326.415,567.064
255.106,488.496
288.412,493.004
306.346,493.648
291.828,527.78
255.106,464.024
266.635,516.832
307.627,506.528
214.114,561.912
337.09,554.828
167.998,521.984
287.131,529.068
264.872,561.08
204.238,598.432
216.194,448.38
284.941,552.064
55.215,206.88
440.796,382.692
323.798,380.76
276.828,470.92
279.39,610.024
379.735,297.04
259.748,512.136
272.985,493.46
391.319,479.48
228.205,542.592
249.128,365.492
95.835,470.464
216.676,496.868
313.178,525.848
374.666,310.108
323.853,499.444
241.442,500.088
305.065,355.188
398.578,376.44
180.381,577.368
322.145,529.712
308.908,473.684
68.507,396.404
244.004,454.364
305.919,494.936
288.839,413.148
264.927,557.404
191.056,318.48
281.58,613.432
322.999,588.316
